380,0.033358,0.028821,0.045836,0.000180,0.000020,0.000792
381,0.032858,0.026633,0.033385,0.000241,0.000026,0.001063
382,0.032398,0.024478,0.021016,0.000322,0.000035,0.001419
383,0.031981,0.022358,0.008836,0.000426,0.000046,0.001881
384,0.031613,0.020274,0.000000,0.000561,0.000061,0.002480
385,0.031301,0.018226,0.000000,0.000735,0.000079,0.003250
386,0.031051,0.016217,0.000000,0.000957,0.000103,0.004234
387,0.030871,0.014248,0.000000,0.001238,0.000133,0.005484
388,0.030768,0.012319,0.000000,0.001593,0.000171,0.007059
389,0.030750,0.010432,0.000000,0.002036,0.000219,0.009034
390,0.030829,0.008588,0.000000,0.002588,0.000277,0.011493
391,0.031012,0.006788,0.000000,0.003269,0.000350,0.014534
392,0.031312,0.005034,0.000000,0.004105,0.000438,0.018271
393,0.031739,0.003326,0.000000,0.005123,0.000546,0.022833
394,0.032305,0.001665,0.000000,0.006356,0.000676,0.028365
395,0.033024,0.000054,0.000000,0.007839,0.000831,0.035029
396,0.033908,0.000000,0.000000,0.009609,0.001016,0.043002
397,0.034972,0.000000,0.000000,0.011709,0.001235,0.052478
398,0.036230,0.000000,0.000000,0.014182,0.001492,0.063662
399,0.037696,0.000000,0.000000,0.017074,0.001793,0.076773
400,0.039387,0.000000,0.000000,0.020434,0.002142,0.092033
401,0.041317,0.000000,0.000000,0.024308,0.002543,0.109674
402,0.043502,0.000000,0.000000,0.028745,0.003001,0.129927
403,0.045957,0.000000,0.006606,0.033791,0.003521,0.153009
404,0.048699,0.000000,0.027986,0.039482,0.004106,0.179117
405,0.051742,0.000000,0.051990,0.045856,0.004761,0.208442
406,0.055100,0.000000,0.078624,0.052938,0.005488,0.241134
407,0.058787,0.000000,0.107876,0.060743,0.006290,0.277305
408,0.062817,0.000000,0.139720,0.069276,0.007166,0.317009
409,0.067200,0.000000,0.174115,0.078526,0.008117,0.360249
410,0.071947,0.000000,0.211003,0.088446,0.009138,0.406863
411,0.077067,0.000000,0.250311,0.098927,0.010213,0.456420
412,0.082565,0.000000,0.291950,0.109879,0.011328,0.508545
413,0.088448,0.000000,0.335820,0.121248,0.012482,0.563028
414,0.094716,0.000000,0.381804,0.132986,0.013676,0.619672
415,0.101370,0.000000,0.429773,0.145050,0.014910,0.678295
416,0.108407,0.000000,0.479587,0.157401,0.016188,0.738734
417,0.115819,0.000000,0.531092,0.170015,0.017520,0.800868
418,0.123597,0.000000,0.584127,0.182879,0.018921,0.864638
419,0.131730,0.000000,0.638517,0.195994,0.020403,0.930026
420,0.140199,0.000000,0.694081,0.209229,0.021967,0.996431
421,0.148986,0.000000,0.750630,0.222192,0.023570,1.062012
422,0.158066,0.000000,0.807967,0.234603,0.025179,1.125420
423,0.167412,0.000000,0.865890,0.246445,0.026799,1.186628
424,0.176993,0.000000,0.924189,0.257733,0.028437,1.245636
425,0.186774,0.000000,0.982653,0.268502,0.030108,1.302552
426,0.196717,0.000000,1.041067,0.278833,0.031819,1.357784
427,0.206781,0.000000,1.099212,0.288844,0.033579,1.411860
428,0.216920,0.000000,1.156870,0.298644,0.035428,1.465288
429,0.227087,0.000000,1.213821,0.308401,0.037382,1.518869
430,0.237231,0.000000,1.269846,0.318162,0.039438,1.572819
431,0.247301,0.000000,1.324728,0.327672,0.041567,1.625812
432,0.257241,0.000000,1.378252,0.336692,0.043726,1.676648
433,0.266996,0.000000,1.430206,0.345148,0.045913,1.724976
434,0.276509,0.000000,1.480385,0.352979,0.048150,1.770532
435,0.285723,0.000000,1.528587,0.360154,0.050442,1.813152
436,0.294581,0.000000,1.574620,0.366646,0.052799,1.852664
437,0.303026,0.000000,1.618296,0.372377,0.055232,1.888804
438,0.311004,0.000000,1.659441,0.377322,0.057750,1.921408
439,0.318461,0.000000,1.697886,0.381445,0.060363,1.950333
440,0.325344,0.000000,1.733477,0.384667,0.063035,1.975135
441,0.331607,0.000000,1.766069,0.386878,0.065654,1.995076
442,0.337205,0.000000,1.782600,0.388052,0.068177,2.009912
443,0.342095,0.000000,1.782600,0.388246,0.070647,2.019920
444,0.346241,0.000000,1.782600,0.387527,0.073113,2.025444
445,0.349611,0.000720,1.782600,0.385995,0.075628,2.026976
446,0.352179,0.002735,1.782600,0.383728,0.078247,2.024924
447,0.353922,0.004850,1.782600,0.380819,0.081021,2.019780
448,0.354825,0.007066,1.782600,0.377343,0.083999,2.011952
449,0.354877,0.009387,1.782600,0.373398,0.087244,2.001968
450,0.354075,0.011814,1.782600,0.369041,0.090713,1.989976
451,0.352420,0.014350,1.782600,0.364273,0.094145,1.975604
452,0.349920,0.016997,1.782600,0.359055,0.097449,1.958496
453,0.346590,0.019759,1.782600,0.353346,0.100721,1.938624
454,0.342449,0.022638,1.782600,0.347136,0.104063,1.916124
